FID,STFID,OID_,AREA_HA,pop2000,hden2000,zoning
0,4.20E+14,0,78.7,11,0.05,3
1,4.20E+14,0,131.9,5,0.02,2
2,4.20E+14,0,16.3,8,0.18,2
3,4.20E+14,0,78.8,15,0.05,1
4,4.20E+14,0,30.1,48,0.63,1
5,4.20E+14,0,59.6,37,0.23,3
6,4.20E+14,0,174.9,67,0.15,1
7,4.20E+14,0,77.7,40,0.23,3
8,4.20E+14,0,20.3,0,0,3
9,4.20E+14,0,367.9,110,0.11,3
10,4.20E+14,0,395.9,119,0.12,1
11,4.20E+14,0,20.4,15,0.34,2
12,4.20E+14,0,13.9,0,0,3
13,4.20E+14,0,6.7,0,0,3
14,4.20E+14,0,127.9,25,0.09,2
15,4.20E+14,0,38.4,6,0.05,3
16,4.20E+14,0,65.7,2,0.02,3
17,4.20E+14,0,60.6,7,0.08,1
18,4.20E+14,0,249.8,54,0.09,3
19,4.20E+14,0,187.8,10,0.03,2
20,4.20E+14,0,134.2,47,0.13,2
21,4.20E+14,0,154.7,42,0.1,3
22,4.20E+14,0,115.3,101,0.33,1
23,4.20E+14,0,57.5,43,0.28,2
24,4.20E+14,0,26.5,13,0.19,2
25,4.20E+14,0,98.4,22,0.1,1
26,4.20E+14,0,43,0,0,2
27,4.20E+14,0,28.1,7,0.11,2
28,4.20E+14,0,41.8,2,0.02,1
29,4.20E+14,0,33.6,3,0.03,1
30,4.20E+14,0,5.4,8,0.74,3
31,4.20E+14,0,9.8,10,0.61,3
32,4.20E+14,0,10.6,42,1.79,2
33,4.20E+14,0,12.7,20,0.71,3
34,4.20E+14,0,6.9,5,0.14,3
35,4.20E+14,0,92,61,0.28,1
36,4.20E+14,0,80.3,113,0.65,3
37,4.20E+14,0,257.6,16,0.02,3
38,4.20E+14,0,114.7,184,0.7,1
39,4.20E+14,0,1,17,5,2
40,4.20E+14,0,21.8,9,0.14,1
41,4.20E+14,0,40.9,16,0.15,3
42,4.20E+14,0,6.3,12,0.95,3
43,4.20E+14,0,93.3,177,0.76,1
44,4.20E+14,0,3.8,19,1.58,2
45,4.20E+14,0,5.8,95,6.55,1
46,4.20E+14,0,17.7,288,6.16,1
47,4.20E+14,0,0.4,0,0,3
48,4.20E+14,0,1.1,7,3.64,1
49,4.20E+14,0,0.8,7,5,1
50,4.20E+14,0,2,26,5.5,1
51,4.20E+14,0,70.9,20,0.13,2
52,4.20E+14,0,1.8,30,8.89,1
53,4.20E+14,0,4.8,92,7.71,3
54,4.20E+14,0,3.8,38,5.53,3
55,4.20E+14,0,18.6,6,0.11,2
56,4.20E+14,0,3,0,0,1
57,4.20E+14,0,121.3,135,0.11,1
58,4.20E+14,0,4.5,0,0,1
59,4.20E+14,0,73.5,4,0.04,2
60,4.20E+14,0,86.8,18,0.12,2
61,4.20E+14,0,35,9,0.14,2
62,4.20E+14,0,5.9,3,0.17,3
63,4.20E+14,0,10.2,9,0.59,1
64,4.20E+14,0,105.5,45,0.19,2
65,4.20E+14,0,58.9,21,0.15,1
66,4.20E+14,0,25.9,3,0.04,1
67,4.20E+14,0,26,22,0.27,2
68,4.20E+14,0,62.6,202,1.15,1
69,4.20E+14,0,11.8,90,2.97,2
70,4.20E+14,0,4.6,36,2.61,3
